City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
362,neyshabur,36.2133,58.7958,7.09,76,66,1.0,IR,1675813069
363,baringo,0.4667,35.9667,20.54,53,17,3.12,KE,1675813070
364,morehead,37.2711,-87.1764,15.86,78,100,3.6,US,1675813070
365,plettenberg bay,-34.0527,23.3716,19.19,87,100,1.7,ZA,1675813071
366,akyab,20.15,92.9,17.72,65,0,2.56,MM,1675813071
367,stepnyak,52.8339,70.7803,-13.77,96,100,1.76,KZ,1675813072
368,coihaique,-45.5752,-72.0662,19.97,52,75,3.6,CL,1675813072
369,tuatapere,-46.1333,167.6833,12.9,61,64,6.81,NZ,1675813073
370,hokitika,-42.7167,170.9667,16.09,66,81,6.23,NZ,1675813073
371,kavaratti,10.5669,72.642,26.5,72,97,5.1,IN,1675813074
372,northam,51.0333,-4.2167,3.67,91,1,2.83,GB,1675813074
373,bure,10.7,37.0667,15.36,46,5,2.18,ET,1675813074
374,hoskote,13.0669,77.7983,16.11,94,5,1.03,IN,1675813075
375,daru,-9.0763,143.2092,27.57,76,99,6.01,PG,1675813075
376,thai binh,20.45,106.3333,19.83,95,100,4.98,VN,1675813076
377,byron bay,-28.65,153.6167,24.84,61,98,3.58,AU,1675812906
378,tasiilaq,65.6145,-37.6368,-16.91,35,2,17.27,GL,1675813076
379,staryy nadym,65.6118,72.6842,-22.71,95,87,4.65,RU,1675813077
380,nizhniy odes,63.6445,54.856,-10.43,94,100,4.9,RU,1675813077
381,husavik,66.0449,-17.3389,-4.55,66,59,4.83,IS,1675813079
382,palaikastron,35.2,26.25,7.88,56,52,12.71,GR,1675813079
383,aljezur,37.3191,-8.8033,9.0,88,4,2.04,PT,1675813080
384,ahipara,-35.1667,173.1667,22.2,55,84,3.25,NZ,1675813080
385,beberibe,-4.1797,-38.1306,26.37,75,100,6.26,BR,1675813081
386,san vicente,-26.6167,-54.1333,23.37,41,23,1.46,AR,1675813081
387,porto murtinho,-21.6989,-57.8825,24.62,89,85,1.3,BR,1675813082
388,martil,35.6166,-5.2752,9.98,81,75,1.03,MA,1675813082
389,grenville,12.1167,-61.6167,26.03,81,100,7.81,GD,1675813083
390,ballina,-28.8667,153.5667,24.88,82,100,3.19,AU,1675813083
391,general roca,-39.0333,-67.5833,30.9,9,0,5.08,AR,1675813084
392,chokurdakh,70.6333,147.9167,-39.19,100,99,1.74,RU,1675813084
393,acaponeta,22.4964,-105.3594,25.56,41,83,2.68,MX,1675813087
394,geraldton,-28.7667,114.6,20.23,88,40,4.12,AU,1675812853
395,yubari,43.0378,141.9578,-6.15,78,95,0.69,JP,1675813090
396,weihe,32.9952,105.3247,3.93,98,100,0.99,CN,1675813096
397,ola,59.5833,151.2833,-27.33,82,48,3.75,RU,1675813104
398,senanga,-16.1167,23.2667,18.93,98,100,2.01,ZM,1675813113
399,mount isa,-20.7333,139.5,28.87,70,40,3.6,AU,1675813115
400,comodoro rivadavia,-45.8667,-67.5,23.92,27,0,4.63,AR,1675813116
401,fomboni,-12.28,43.7425,27.6,78,100,5.87,KM,1675813117
402,tiznit,29.5833,-9.5,8.06,90,5,0.65,MA,1675813117
403,puerto maldonado,-12.6,-69.1833,32.22,58,0,1.03,PE,1675813118
404,pamanukan,-6.2842,107.8106,24.17,93,100,2.27,ID,1675813118
405,san patricio,28.017,-97.5169,25.05,74,99,8.45,US,1675813119
406,praya,14.9215,-23.5087,20.3,60,40,9.26,CV,1675813119
407,raudeberg,61.9875,5.1352,6.37,75,51,13.91,NO,1675813120
408,juegang,32.3174,121.1855,6.1,85,97,4.2,CN,1675813120
409,venice,27.0998,-82.4543,25.02,58,0,3.6,US,1675813120
410,gaoua,10.2992,-3.2508,28.95,23,78,2.18,BF,1675813121
411,ixtapa,20.7,-105.2,24.57,65,0,4.63,MX,1675813121
412,odweyne,9.4092,45.064,18.94,68,29,1.63,SO,1675813127
413,meulaboh,4.1363,96.1285,23.77,83,100,1.17,ID,1675813116
414,kemin,42.7846,75.6892,-2.09,57,99,4.89,KG,1675813129
415,lata,40.1629,-8.3327,6.07,77,12,1.7,PT,1675813129
416,palmer,42.1584,-72.3287,2.34,49,100,6.69,US,1675813130
417,sisimiut,66.9395,-53.6735,-25.14,98,92,1.17,GL,1675813131
418,tabas,33.5959,56.9244,12.86,63,4,3.73,IR,1675813131
419,cartagena,10.3997,-75.5144,26.79,74,0,5.14,CO,1675812833
420,tubize,50.6904,4.2069,0.33,89,39,1.47,BE,1675813132
421,waitara,-38.925,174.25,20.0,68,40,7.3,NZ,1675813132
422,esmeraldas,-19.7625,-44.3139,21.48,87,75,0.75,BR,1675813133
423,wagar,16.1525,36.2032,19.21,67,4,7.03,SD,1675813133
424,katobu,-4.9408,122.5276,27.34,75,94,1.06,ID,1675813134
425,dilla,6.41,38.31,15.52,38,5,1.85,ET,1675813134
426,maniitsoq,65.4167,-52.9,-17.43,91,99,4.61,GL,1675813134
427,talcahuano,-36.7167,-73.1167,21.82,46,0,5.66,CL,1675812916
428,pombia,45.653,8.6336,1.74,74,0,2.57,IT,1675813135
429,bedford,52.1346,-0.4663,1.61,83,7,2.3,GB,1675812914
430,liverpool,53.4106,-2.9779,6.01,87,100,1.54,GB,1675813136
431,cabo san lucas,22.8909,-109.9124,25.61,59,40,5.14,MX,1675813136
432,alpena,45.0617,-83.4327,3.18,71,100,3.09,US,1675812897
433,lasa,46.6166,10.7002,-3.88,76,8,0.35,IT,1675813137
434,mnogovershinnyy,53.9353,139.9242,-27.76,92,93,0.64,RU,1675813137
435,salalah,17.0151,54.0924,21.05,46,0,2.06,OM,1675813138
436,itaituba,-4.2761,-55.9836,23.59,98,99,0.29,BR,1675813126
437,tual,-5.6667,132.75,27.31,79,100,9.96,ID,1675813138
438,noormarkku,61.5927,21.8685,0.88,100,100,1.54,FI,1675813139
439,oktyabrskiy,54.4815,53.471,-22.85,100,94,0.88,RU,1675813139
440,kieta,-6.2167,155.6333,28.49,76,78,3.46,PG,1675813140
441,cabedelo,-6.9811,-34.8339,25.37,71,93,4.66,BR,1675813140
442,le passage,44.2014,0.6028,7.09,65,0,3.6,FR,1675813140
443,magaria,12.9983,8.9099,20.79,19,80,4.43,NE,1675813141
444,caravelas,-17.7125,-39.2481,25.47,82,2,3.84,BR,1675813141
445,grand gaube,-20.0064,57.6608,26.22,81,45,1.34,MU,1675813140
446,tupik,54.4253,119.9327,-33.94,100,67,0.67,RU,1675813143
447,carutapera,-1.195,-46.02,24.45,91,99,2.53,BR,1675813143
448,diu,20.7141,70.9822,20.43,54,6,2.16,IN,1675813144
449,wolbrom,50.3796,19.7583,-2.95,98,99,1.9,PL,1675813148
450,bulawayo,-20.15,28.5833,20.73,55,59,2.16,ZW,1675813155
451,san quintin,30.4833,-115.95,16.85,46,0,4.49,MX,1675813163
452,preeceville,51.95,-102.6677,-0.58,88,24,4.23,CA,1675813170
453,hambantota,6.1241,81.1185,23.91,86,91,5.06,LK,1675813171
454,bundibugyo,0.7414,30.0417,23.55,43,81,1.58,UG,1675813181
